,disease,section,content
151,Bipolar Disorder,The bottom line,"Bipolar disorder is a lifelong condition, but that doesn’t mean it has to completely disrupt your life. Living with bipolar disorder can create some challenges, but sticking with your treatment plan, practicing regular self-care, and leaning on your support system can boost overall well-being and keep symptoms to a minimum. Educating yourself and your loved ones about the condition can also have a lot of benefits. Get started with these resources: Depression and Bipolar Support Alliance Help with Bipolar Disorder International Bipolar Foundation"
152,Birth Defects,Overview,"About birth defects A birth defect is a problem that occurs when a baby is developing in utero (in the womb). Approximately1 out of every 33 babiesin the United States is born with a birth defect. Birth defects can be minor or severe. They may affect appearance, organ function, and physical and mental development. Most birth defects are present within the first three months of pregnancy, when the organs are still forming. Some birth defects are harmless. Others require long-term medical treatment. Severe birth defects are the leading cause of infant death in the United States, accounting for20 percentof deaths."
153,Birth Defects,What causes birth defects?,"Birth defects can be a result of: genetics lifestyle choices and behaviors exposure to certain medications and chemicals infections during pregnancy a combination of these factors However, the exact causes of certain birth defects are often unknown. The mother or father may pass on genetic abnormalities to their baby. Genetic abnormalities occur when a gene becomes flawed due to a mutation, or change. In some cases, a gene or part of a gene might be missing. These defects happen at conception and often can’t be prevented. A particular defect may be present throughout the family history of one or both parents. The causes of some birth defects can be difficult or impossible to identify. However, certain behaviors greatly increase the risk of birth defects. These include smoking, using illegal drugs, and drinking alcohol while pregnant. Other factors, such as exposure to toxic chemicals or viruses, also increase risk."
154,Birth Defects,What are the risk factors for birth defects?,"All pregnant women have some risk of delivering a child with a birth defect. Risk increases under any of the following conditions: family history of birth defects or other genetic disorders drug use, alcohol consumption, or smoking during pregnancy maternal age of 35 years or older inadequate prenatal care untreated viral or bacterial infections, including sexually transmitted infections use of certain high-risk medications, such as isotretinoin and lithium Women with pre-existing medical conditions, such asdiabetes, are also at a higher risk of having a child with a birth defect."
155,Birth Defects,Common birth defects,"Birth defects are typically classified as structural or functional and developmental. Structural defects are when a specific body part is missing or malformed. The most common structural defects are: heart defects cleft lip or palate, when there’s an opening or split in the lip or roof of the mouth spina bifida, when the spinal cord doesn’t develop properly clubfoot, when the foot points inward instead of forward Functional or developmental birth defects cause a body part or system not to work properly. These often cause disabilities of intelligence or development. Functional or developmental birth defects include metabolic defects, sensory problems, and nervous system problems. Metabolic defects cause problems with the baby’s body chemistry. The most common types of functional or developmental birth defects include: Down syndrome, which causes delay in physical and mental development sickle cell disease, which occurs when the red blood cells become misshapen cystic fibrosis, which damages the lungs and digestive system Some children face physical problems associated with specific birth defects. However, many children show no visible abnormalities. Defects can sometimes go undetected for months or even years after the child is born."
156,Birth Defects,How are birth defects diagnosed?,"Many types of birth defects can be diagnosed during pregnancy. A healthcare professional can useprenatal ultrasoundsto help them diagnose certain birth defects in utero. More in-depth screening options, such as blood tests andamniocentesis(taking a sample of the amniotic fluid), may also be done. These tests are usually offered to women who have higher-risk pregnancies due to family history, advanced maternal age, or other known factors. Prenatal tests can help determine whether the mother has an infection or other condition that’s harmful to the baby. A physical examination and hearing test may also help the doctor diagnose birth defects after the baby is born. A blood test called the newborn screen can help doctors diagnose some birth defects shortly after birth, before symptoms occur. It’s important to know that prenatal screening doesn’t always find defects when they’re present. A screening test can also falsely identify defects. However, most birth defects can be diagnosed with certainty after birth."
157,Birth Defects,How are birth defects treated?,"Treatment options vary depending on the condition and level of severity. Some birth defects can be corrected before birth or shortly after. Other defects, however, may affect a child for the rest of their life. Mild defects can be stressful, but they don’t typically affect overall quality of life. Severe birth defects, such ascerebral palsyor spina bifida, can cause long-term disability or even death. Speak with your doctor about the appropriate treatment for your child’s condition. Medications:Medications may be used to treat some birth defects or to lower the risk of complications from certain defects. In some cases, medication may be prescribed to the mother to help correct an abnormality before birth. Surgeries:Surgery can fix certain defects or ease harmful symptoms. Some people with physical birth defects, such as cleft lip, may undergo plastic surgery for either health or cosmetic benefits. Many babies with heart defects will need surgery, as well. Home care:Parents may be instructed to follow specific instructions for feeding, bathing, and monitoring an infant with a birth defect."
158,Birth Defects,How can birth defects be prevented?,"Many birth defects can’t be prevented, but there are some ways to lower the risk of having a baby with a birth defect. Women who plan to become pregnant should start taking folic acid supplements before conception. These supplements should also be taken throughout the pregnancy. Folic acid can help prevent defects of the spine and brain.Prenatal vitaminsare also recommended during pregnancy. Women should avoid alcohol, drugs, and tobacco during and after pregnancy. They should also use caution when taking certain medications. Some medications that are normally safe can cause serious birth defects when taken by a pregnant woman. Make sure to tell your doctor about any medications you may be taking, including over-the-counter drugs and supplements. Most vaccines are safe during pregnancy. In fact, some vaccines can help prevent birth defects. There is a theoretical risk of harm to a developing fetus with some live-virus vaccines, so these kinds should not be given during pregnancy. You should ask your doctor which vaccines are necessary and safe. Maintaining a healthy weight also helps reduce the risk of complications during pregnancy. Women with pre-existing conditions, such as diabetes, should take special care to manage their health. It’s extremely important to attend regular prenatal appointments. If your pregnancy is considered high risk, your doctor can do additional prenatal screening to identify defects. Depending on the type of defect, your doctor may be able to treat it before the baby is born. A genetic counselor can advise couples with family histories of a defect or other risks factors for birth defects. A counselor may be helpful when you’re thinking about having children or already expecting. Genetic counselors can determine the likelihood that your baby will be born with defects by evaluating family history and medical records. They may also order tests to analyze the genes of the mother, father, and baby."
159,Blood Cell Disorders,Overview,"Blood cell disorders include a range of conditions that can affect different components of the blood, ranging from mild to very serious. There are many types of blood cell disorders that can affect your overall health. If you believe you have a medical condition affecting your blood, talk with a doctor about your symptoms. They may refer you to a hematologist, a doctor who specializes in blood and blood disorders. Learn more about the different types of blood disorders, common symptoms, and treatment options."
160,Blood Cell Disorders,What are blood cell disorders?,"A blood cell disorder is a condition in which there’s a problem with your red blood cells, white blood cells, or platelets (smaller circulating cells), which are critical for clot formation. All three cell types form in the bone marrow, which is the soft tissue inside your bones. Red blood cellstransport oxygen to your body’s organs and tissues.White blood cellshelp your body fight infections. Platelets help your blood to clot. Blood cell disorders impair the formation and function of one or more of these types of blood cells. These disorders can be: acute (short-term) chronic (long-term) genetic the result of other conditions the side effects of certain medications Blood cell disorders can affect the body in many ways, depending on the specific symptoms or condition someone may be experiencing."
161,Blood Cell Disorders,What are the symptoms of blood cell disorders?,"Symptoms vary depending on the type of blood cell disorder. Common symptoms of red blood cell disorders are: fatigue shortness of breath trouble concentratingfrom a lack of oxygenated blood in the brain muscle weakness afast heartbeat Common symptoms of white blood cell disorders are: chronic infections fatigue unexplained weight loss malaise(a general feeling of being unwell) Common symptoms of platelet disorders are: cuts or sores that don’t heal or are slow to heal blood that doesn’t clot after an injury or cut skin thatbruises easily unexplainednosebleedsorbleeding from the gums petechiae, which are small, flat, discolored spots under the skin There are many different types of blood cell disorders, so your doctor will help diagnose your condition by using tests and considering your symptoms."
162,Blood Cell Disorders,Red blood cell disorders,"Red blood cell disorders affect the body’s red blood cells. These blood cells carry oxygen from your lungs to the rest of your body. There are various disorders that can affect both children and adults. Anemia is one type of red blood cell disorder, and there aremany types: Iron deficiency anemia:This occurs when your body does not have enough iron. You may feel tired and short of breath because your red blood cells are not carrying enough oxygen to your lungs.Iron supplementationusually resolvesiron deficiency anemia. Pernicious anemia:Pernicious anemiais an autoimmune condition in which your body is unable to absorb sufficient amounts ofvitamin B12. This results in a low number of red blood cells. It is called “pernicious,” meaning dangerous, because it used to be untreatable and often fatal. Now, B12 injections usually cure this type of anemia. Aplastic anemia:This is a rare but serious condition in which your bone marrow stops making enough new blood cells.Aplastic anemiacan occur suddenly or slowly, and at any age. It can leave you feeling tired and unable to fight off infections or uncontrolled bleeding. Autoimmune hemolytic anemia (AHA):AHAcauses your immune system to destroy your red blood cells faster than your body can replace them, resulting in too few red blood cells. Sickle cell anemia (SCA):SCAis a type of anemia that draws its name from the unusual sickle shape of the affected red blood cells. Due to a genetic mutation, these red blood cells contain abnormal hemoglobin molecules, which leave them rigid and curved. The sickle-shaped red blood cells can’t carry as much oxygen to your tissues as regular red blood cells can. They may also become stuck in the blood vessels, blocking blood flow to your organs. Thalassemiais a group of inherited blood disorders. These disorders are caused by genetic mutations that prevent the regular production of hemoglobin. When red blood cells do not have enough hemoglobin, oxygen doesn’t get to all parts of the body. Organs then do not function properly. These disorderscan cause: bone irregularities enlarged spleen heart problems growth and developmental delaysin children jaundice Polycythemia verais a blood cancer caused by a gene mutation. If you have polycythemia, your bone marrow makes too many red blood cells. This causes your blood to thicken and flow more slowly, putting youat riskforblood clotsthat can causeheart attacksorstrokes. There is no known cure, but several treatments can help manage this condition. Treatment involves phlebotomy, or removing blood from your veins, and medication."
163,Blood Cell Disorders,White blood cell disorders,"White blood cells (leukocytes) help defend the body against infection and foreign substances. White blood cell disorders can affect your body’s immune response and its ability to fight infection. These disorders can affect both adults and children. Lymphomais a blood cancer that occurs in the body’s lymphatic system. Your white blood cells change and grow out of control.Hodgkin’s lymphomaandnon-Hodgkin’s lymphomaare thetwo major typesof lymphoma. Leukemiais a blood cancer in which malignant white blood cells multiply inside your body’s bone marrow. Leukemia may be eitheracute or chronic. Chronic leukemia advances more slowly. MDSaffects the white blood cells and their precursors in your bone marrow. The body produces too many immature cells, called blasts. The blasts multiply and crowd out the mature and healthy cells. MDS may progress either slowly or quite fast. Itsometimes leads toleukemia. Plasma cell myelomais arareblood cancer that develops in the plasma cells in the bone marrow. Plasma cells are a type of white blood cell in your body that makes antibodies. These cells are very important to your body’s ability to ward off infection and disease. Malignant plasma cells accumulate in the bone marrow and form tumors called plasmacytomas, generally in bones such as the spine, hips, or ribs. The abnormal plasma cells produce abnormal antibodies called monoclonal (M) proteins. These proteins build up in the bone marrow, crowding out the healthy proteins. This can lead to thickened blood and kidney damage. The cause of plasma cell myeloma is unknown."
164,Blood Cell Disorders,Platelet disorders,"Blood platelets are the first responders when you have a cut or other injury. They gather at the site of the injury, creating a temporary plug to stop blood loss. If you have a platelet disorder, your blood hasone of threeirregularities: Not enough platelets — thrombocytopenia:Having too few platelets is dangerous because even a small injury can cause serious blood loss. Too many platelets — thrombocytosis:If you have too many platelets in your blood, blood clots can form and block a major artery, causing a stroke or heart attack. Platelets that don’t clot correctly:Sometimes, deformed platelets can’t stick to other blood cells or the walls of your blood vessels, and so can’t clot properly. This can also lead to a dangerous loss of blood."
165,Blood Cell Disorders,Blood clotting disorders,"Blood clotting relies not only on blood cells and platelets but also on other factors and proteins in the blood that help activate the chain of events leading to clot formation. Problems with these factors can lead to blood clot formation or excessive bleeding. Von Willebrand diseaseis themost commoninheritedbleeding disorder. It is caused by a deficiency of a protein that helps your blood clot, called von Willebrand factor. Symptoms can include: frequent nosebleeds that are hard to stop constant bruising heavy menstrual bleeding longer than usual bleeding after injury Treatment can include injections or factor replacement therapy. Hemophiliais probably the most well-known blood clotting disorder, and italmost alwaysoccurs in males. The most serious complication of hemophilia is excessive and prolonged bleeding. This bleeding can be eitherinsideor outside your body, and sometimes the bleeding can start with no apparent cause. Treatment involves a hormone called desmopressin for mild type A, which can promote the release of more of the reduced clotting factor, and blood (plasma) infusions for types B and C. Primary thrombocythemiais arare disorderthat can lead to increased blood clotting. This puts you at higher risk for stroke or heart attack. The disorder occurs when your bone marrow produces too many platelets. Certain drugs and medical conditions can also affect the functioning of platelets. Be sure to coordinate all your medications with your doctor, even over-the-counter supplements or vitamins. TheCanadian Hemophilia Society (CHS)warns that the following common drugs may affect platelets, especially if taken long-term: aspirin nonsteroidal anti-inflammatory (NSAIDs) some antibiotics heart drugs blood thinners antidepressants anesthetics antihistamines"
166,Blood Cell Disorders,How are blood cell disorders diagnosed?,"Your doctor may order several tests, including acomplete blood count (CBC), to identify how many of each type of blood cell you have. Your doctor may also order abone marrow biopsyto check whether any abnormal cells are developing in your marrow. This will involve removing a small amount of bone marrow for testing."
167,Blood Cell Disorders,What are the treatment options for blood cell disorders?,"Your treatment plan depends on the cause of your illness, age, and overall health status. Your doctor may use a combination of treatments to help treat your blood cell disorder. Some pharmacotherapy options include vitamins and minerals for certain types of anemia, and prescription medications and chemotherapy for blood cancers. Bone marrow transplantsmay repair or replace damaged marrow. These involve transferring stem cells, usually from a donor, to your body to help your bone marrow begin producing typical blood cells. A blood transfusion is another option to help you replace lost or damaged blood cells. During a blood transfusion, you receive an infusion of healthy blood from a donor. Both procedures require specific criteria to succeed. Bone marrow donors must match or be as close as possible to your genetic profile.Blood transfusionsrequire a donor with a compatible blood type. For some genetic disorders, like hemophilia,gene therapycan be used to help treat the condition. It’s usually given an injection into a vein, where the gene is carried into the body’s cells. This affects the levels of the missing factor that is causing excessive bleeding."
168,Blood Cell Disorders,What is the long-term outlook for blood cell disorders?,"The variety of blood cell disorders means that your experience of living with one of these conditions may vary greatly from someone else’s. Early diagnosis and treatment are the best ways to ensure you live a healthy and full life with a blood cell disorder. Different side effects of treatments vary depending on the person. Research your options, and speak with your doctor to find the right treatment for you. Finding a support group orcounselorto help you manage any emotional stress about having a blood cell disorder is also helpful. TheAmerican Society of Hematologylists organizations for specific blood cell disorders that may also offer related support groups."
169,Blood Cell Disorders,Takeaway,"Blood cell disorders can happen to anyone, and understanding the specifics of the different kinds of conditions will help you receive the appropriate treatment. It’s important to keep aware of your symptoms, get regular check-ups, and follow your doctor’s medical advice."
170,Brain Disorders,Overview,"Different problems with the brain can have various causes, such as illness, genetics, or injury. Each comes with different risks, diagnoses, and treatments."
171,Brain Disorders,What are brain disorders?,"Your brain is your body’s control center. It’s part of the nervous system, which also includes the spinal cord and a large network of nerves and neurons. Together, the nervous system controls everything from your senses to the muscles throughout your body. When your brain is damaged, it can affect many different things, including your memory, your sensation, and even your personality. Brain disorders include any conditions or disabilities that affect your brain. This includes conditions that are caused by: illness genetics traumatic injury This is a broad category of disorders, which vary greatly in symptoms and severity. Keep reading to learn about some of the largest categories of brain disorders."
172,Brain Disorders,What are the different types of brain disorders?,"Brain injuries are often caused by blunt trauma. Trauma can damage your brain tissue, neurons, and nerves. This damage affects your brain’s ability to communicate with the rest of your body. Examples ofbrain injuriesinclude: hematomas blood clots contusions, or bruising of brain tissue cerebral edema, or swelling inside the skull concussions strokes Examples of the symptoms of a brain injuryinclude: vomiting nausea speech difficulty bleeding from the ear numbness headaches paralysis memory loss problems with concentration Later, you may develop: high blood pressure a low heart rate pupil dilation irregular breathing Depending on the type of injury you have, treatment may include: medication rehabilitation brain surgery Many people with severe brain injuries need surgery to remove or repair damaged tissue or to relieve pressure. People with minor brain injuries may not need any treatment beyond pain medication. Most people with brain injuries need rehabilitation. This can include: physical therapy speech and language therapy psychiatric services Sometimes, tumors form in the brain and can be very dangerous. These are called primarybrain tumors. In other cases, cancer somewhere else in your body spreads to your brain. These are called secondary or metastatic brain tumors. Brain tumors can be either malignant (cancerous) or benign (noncancerous). Doctors classify brain tumors as grades 1, 2, 3, or 4. Higher numbers indicate more aggressive tumors. The cause of brain tumors is largely unknown. They can occur in people of any age. Symptoms of brain tumors depend on the size and location of the tumor. The most commonsymptoms of brain tumorsare: headaches seizures numbness or tingling in your arms or legs nausea vomiting changes in personality difficulty with movementorbalance changes in your hearing, speech, or vision The type of treatment you’ll receive depends on many different factors, such as the size of the tumor, your age, and your overall health. The main types of treatment for brain tumors are: surgery chemotherapy radiation therapy Neurodegenerative diseases cause your brain and nerves to deteriorate over time. They can change your personality and cause confusion. They can also destroy your brain’s tissue and nerves. Some brain diseases, such asAlzheimer’s disease, may develop as you age. They can slowly impair your memory and thought processes. Other diseases, such asTay-Sachs disease, are genetic and begin at an early age. Other common neurodegenerative diseases include: Huntington’s disease amyotrophic lateral sclerosis (ALS), or Lou Gehrig’s disease Parkinson’s disease allforms of dementia Some of the more commonsymptoms of neurodegenerative diseasesinclude: memory loss forgetfulness apathy anxiety agitation a loss of inhibition mood changes Neurodegenerative diseases cause permanent damage, so symptoms tend to get worse as the disease progresses. New symptoms are also likely to develop over time. There’s no cure for neurodegenerative diseases, but treatment can help. The goal of treatment for these conditions it to try to reduce your symptoms and help you maintain quality of life. Treatment often involves the use of medications to better manage your symptoms. Mental health disorders, or mental health conditions, are a large and diverse group of issues that affect your behavior patterns. Some of the most frequently diagnosed mental health disorders are: depression anxiety bipolar disorder post-traumatic stress disorder (PTSD) schizophrenia The symptoms of mental health conditions vary based on the condition. Different people can experience the same disorder very differently. You should talk with your doctor if you notice a change in your behavior, thought patterns, or moods. The two major types of treatment for mental health conditions are medication and psychotherapy. Different methods work better for different conditions. Many people find that a combination of the two is the most effective. If you think you might have a mental health disorder, it’s important to talk and work with a doctor to create a treatment plan that works for you. There are manyresourcesavailable — do not try to self-medicate."
173,Brain Disorders,What are the risk factors for brain disorders?,"Brain disorders can affect anyone. Risk factors are different for different types of brain disorders. Traumatic brain injury ismost commonin children under 4 years old, young adults between ages 15 and 25 years, and older adults ages 65 years and older, according to the U.S. Department of Health and Human Services (HHS) and the Centers for Disease Control and Prevention (CDC). Brain tumors can affect people at any age. Your personal risk depends on your genetics and your exposure to environmental risk factors like radiation. Older age and family history are the most significant risk factors for neurodegenerative diseases. Mental health disorders are very common. The National Alliance on Mental Illness (NAMI) reports that about1 in 5 American adultshas experienced a mental health condition. Your risk may be higher if you: have a family history of mental health conditions have or have had traumatic or stressful life experiences have a history of misusingalcoholordrugs have or have had a traumatic brain injury"
174,Brain Disorders,How are brain disorders diagnosed?,"A primary care physician or aneurological specialistcan diagnose a brain disorder. They will likely perform a neurological exam to check your vision, hearing, and balance. They may also get images of your brain to help them make a diagnosis. The most common diagnostic imaging tools areCT,MRI, andPET scans. Your doctor might also need to study fluid from your brain and spinal cord. This helps them find bleeding in the brain, infection, and other abnormalities. Mental health disorders are usually diagnosed based on an evaluation of your symptoms and history."
175,Brain Disorders,What’s the long-term outlook?,"The outlook for people with brain disorders depends on the type and severity of the brain disorder. Some conditions are easily treated with medication and therapy. For example, millions of people with mental health disorders live full, quality lives. Other disorders, like neurodegenerative diseases and some traumatic brain injuries, have no cure. People with these conditions may often face permanent changes in their behavior, mental abilities, or coordination. In these cases, treatment centers around helping you manage the illness and retain as much independence as possible."
176,Breast Cancer,Overview,"Breast cancer occurs when breast cells develop mutations and begin to divide and multiply. People may first notice a lump in the breast, discoloration, texture changes, or other symptoms. Breast cancer is cancer that develops in breast cells. Typically, the cancer forms in either the lobules or the ducts of the breast. Lobules are the glands that produce milk, and ducts are the pathways that bring the milk from the glands to the nipple. Cancer can also occur in the fatty tissue or the fibrous connective tissue within your breast. The uncontrolled cancer cells often invade other healthy breast tissue and can travel to the lymph nodes under the arms. Once the cancer enters the lymph nodes, it has access to a pathway to move to other body parts. Although they generally have less of it, males have breast tissue just like females do. Males can develop breast cancer, too, but it’s much rarer. Learn more about the signs of breast cancer, how it’s diagnosed, and what treatment options are available."
177,Breast Cancer,Signs and symptoms of breast cancer,"In its early stages, breast cancer may not cause any symptoms. In many cases, a tumor may be too small to be felt, but an abnormality can still be seen on a mammogram. If a tumor can be felt, the first sign is usually a new lump in the breast that was not there before. However, not all lumps are cancer. Symptoms of the most common breast cancersinclude: a breast lump or tissue thickening that feels different from surrounding tissue and is new breast pain discolored and pitted skin on your breast swelling in all or part of your breast a nipple discharge other than breast milk bloody discharge from your nipple peeling, scaling, or flaking of skin on your nipple or breast a sudden, unexplained change in the shape or size of your breast inverted nipple changes to the appearance of the skin on your breasts a lump or swelling under your arm If you have any of these symptoms, it doesn’t necessarily mean you have breast cancer. For instance, pain in your breast or abreast lumpcan be caused by a benign cyst. Still, if you find a lump in your breast or have other symptoms, speak with a doctor for further examination and testing. Learn more about breast cancer symptoms and see pictures of what they can look like."
178,Breast Cancer,Types of breast cancer,"There are several types of breast cancer, which are broken into two main categories: invasive and noninvasive. Noninvasive breast cancer is also known as breast cancer in situ. While invasive cancer has spread from the breast ducts or glands to other parts of the breast, noninvasive cancer has not spread from the original tissue. Ductal carcinoma in situ (DCIS):DCIS is a noninvasive cancer. With DCIS, the cancer cells are confined to the ducts in your breast and haven’t invaded the surrounding breast tissue. Lobular carcinoma in situ (LCIS):LCIS is cancer that grows in the milk-producing glands of your breast. Like DCIS, the cancer cells haven’t invaded the surrounding tissue. Invasive ductal carcinoma (IDC):IDC is the most common type of breast cancer. It begins in your breast’s milk ducts and then invades nearby tissue in the breast. Once the breast cancer has spread to the tissue outside your milk ducts, it can begin to spread to other nearby organs and tissue. Invasive lobular carcinoma (ILC):ILCfirst develops in your breast’s lobules and then invades nearby tissue. Inflammatory breast cancer (IBC):IBC is a rare but aggressive type of breast cancer. According to the National Cancer Institute, IBC makes up only1% to 5%of all breast cancer cases. It blocks the lymph nodes near the breasts, so the lymph vessels in the breast can’t properly drain. Paget disease of the nipple:This type of breast cancer begins in the ducts of the nipple, but as it grows, it begins to affect the skin and areola of the nipple. Triple-negative breast cancer:This is another rare disease type. It affects only about10% to 15%of people with breast cancer. Angiosarcoma:This is cancer that grows on the blood vessels or lymph vessels in the breast. The type of cancer you have helps guide your treatment options and long-term outcome. Learn more about types of breast cancer. According to theCenters for Disease Control and Prevention (CDC), breast cancer is the second most common cancer in women."
179,Breast Cancer,Risk factors for breast cancer,"There are several risk factors that increase your chances of getting breast cancer. However, having any of these doesn’t mean you will definitely develop the disease. Risk factors you can changeinclude: Alcohol use:Drinking alcohol raises your risk. Hormone therapy:People who took or are taking postmenopausal estrogen and progesterone medications to help reduce their menopause symptoms have a higher risk of breast cancer. Not getting enough exercise:Those who are not physically active can often have a higher risk of cancer. Risk factors you cannot change include: Age:Your risk of developing breast cancer increases as you age. Most invasive breast cancers are found in people over 55 years old. Having dense breast tissue:Dense breast tissue makes mammograms hard to read. It also increases your risk of breast cancer. Genes:People who have the BRCA1 and BRCA2 gene mutations are more likely to develop breast cancer than people who don’t. Other gene mutations may also affect your risk. Inherited risk:If a close female relative, such as your mother, sister, or grandmother, has had breast cancer, you have an increased risk of developing it. Never having been pregnant:People who have never been pregnant or carried a pregnancy to full term are more likely to develop breast cancer. Learn more about the causes and risk factors of breast cancer."
180,Breast Cancer,Diagnosis of breast cancer,"To determine whether your symptoms are caused by breast cancer or a benign breast condition, a doctor will do a thorough physical exam in addition to a breast exam. They may also request one or more diagnostic tests to help understand what’s causing your symptoms. These include: The most common way to see below the surface of your breast is with an imaging test called amammogram. Many females over 40 years old get annual mammograms to check for breast cancer. If a doctor suspects you may have a tumor or suspicious spot, they will also request a mammogram. If an atypical area is seen on your mammogram, a doctor may request additional tests, such as abreast ultrasound. This method uses sound waves to create a picture of the tissues deep in your breast. An ultrasound can help your doctor distinguish between a solid mass, such as a tumor, and a benign cyst. If your doctor suspects breast cancer based on tests like a mammogram or an ultrasound, they may do a test called abreast biopsy. During this test, they remove a tissue sample from the suspicious area and test it in a lab. If the sample tests positive for cancer, the lab can test it further to identify the type of breast cancer. If you don’t already have a primary care doctor, you can browse doctors in your area through theHealthline FindCare tool. Learn more about Healthline’s Newly Diagnosed with Breast Cancer."
181,Breast Cancer,Breast cancer stages,"Doctors divide breast cancer intostagesbased on the size of the tumor and how much it has spread. Cancers that are large or have invaded nearby tissues or organs are at a higher stage than cancers that are small or still contained in the breast. To stage breast cancer, doctors need to know: if the cancer is invasive or noninvasive how large the tumor is whether the lymph nodes are involved if the cancer has spread to nearby tissue or organs Breast cancer hasfive main stages: stages 0 to 4. Stage 0 is ductal carcinoma in situ (DCIS). Cancer cells in DCIS remain confined to the ducts in the breast and have not spread into nearby tissue. Stage 1A:The primary tumor is 2 centimeters (cm) wide or less. The lymph nodes are not affected. Stage 1B:Cancer is found in nearby lymph nodes. Either there is no tumor in the breast, or the tumor is smaller than 2 cm. Stage 2A:The tumor is smaller than 2 cm and has spread to one to three nearby lymph nodes, or it’s between 2 and 5 cm and hasn’t spread to any lymph nodes. Stage 2B:The tumor is between 2 and 5 cm and has spread to one to three axillary (armpit) lymph nodes, or it’s larger than 5 cm and hasn’t spread to any lymph nodes. Stage 3A:The cancer has spread to four to nine axillary lymph nodes or has enlarged the internal mammary lymph nodes. The primary tumor can be any size.Tumors are greater than 5 cm. The cancer has spread to one to three axillary lymph nodes or any breastbone nodes. The cancer has spread to four to nine axillary lymph nodes or has enlarged the internal mammary lymph nodes. The primary tumor can be any size. Tumors are greater than 5 cm. The cancer has spread to one to three axillary lymph nodes or any breastbone nodes. Stage 3B:A tumor has invaded the chest wall or skin and may or may not have invaded up to nine lymph nodes. Stage 3C:Cancer is found in 10 or more axillary lymph nodes, lymph nodes near the collarbone, or internal mammary nodes. Stage 4 breast cancer can have a tumor of any size. Its cancer cells have spread to nearby and distant lymph nodes as well as distant organs. The testing a doctor does will determine the stage of your breast cancer, which will affect your treatment. Learn more about breast cancer stages and grades."
182,Breast Cancer,Breast cancer treatment,"Your breast cancer’s stage, how far it has invaded (if it has), and how big the tumor has grown all play a large part in determining what kind of treatment you’ll need. To start, a doctor will determine your cancer’s size, stage, and grade. Your cancer’s grade describes how likely it is to grow and spread. After that, you can discuss your treatment options. Surgery is the most common treatment for breast cancer. Many people have additional treatments, such as chemotherapy, targeted therapy, radiation, or hormone therapy. Several types of surgery may be used to remove breast cancer, including: Breast-conserving surgery:Lumpectomy:This procedure removes the tumor and some surrounding tissue, leaving the rest of the breast intact. Lumpectomy:This procedure removes the tumor and some surrounding tissue, leaving the rest of the breast intact. Surgery to remove lymph nodes:Sentinel node biopsy:This surgery removes a few of the lymph nodes that receive drainage from the tumor. These lymph nodes will be tested. If they don’t have cancer, you may not need additional surgery to remove more lymph nodes.Axillary lymph node dissection:If lymph nodes removed during a sentinel node biopsy contain cancer cells, a doctor may remove additional lymph nodes. Sentinel node biopsy:This surgery removes a few of the lymph nodes that receive drainage from the tumor. These lymph nodes will be tested. If they don’t have cancer, you may not need additional surgery to remove more lymph nodes. Axillary lymph node dissection:If lymph nodes removed during a sentinel node biopsy contain cancer cells, a doctor may remove additional lymph nodes. Removal of one or both breasts:Mastectomy:In this procedure, a surgeon removes an entire breast. In a double mastectomy, they remove both breasts.Contralateral prophylactic mastectomy:Even though breast cancer may be present in only one breast, some people elect to have a contralateral prophylactic mastectomy. This surgery removes your healthy breast to lower your risk of developing breast cancer again. Mastectomy:In this procedure, a surgeon removes an entire breast. In a double mastectomy, they remove both breasts. Contralateral prophylactic mastectomy:Even though breast cancer may be present in only one breast, some people elect to have a contralateral prophylactic mastectomy. This surgery removes your healthy breast to lower your risk of developing breast cancer again. Withradiation therapy, high powered beams of radiation are used to target and kill cancer cells. Most radiation treatments use external beam radiation. This technique uses a large machine on the outside of the body. Advances in cancer treatment have also enabled doctors to irradiate cancer from inside the body. This is known asbrachytherapy. To conduct brachytherapy, surgeons place radioactive seeds, or pellets, inside the body near the tumor site. The seeds stay there for a short period of time and work to destroy cancer cells. Chemotherapyis a drug treatment used to destroy cancer cells. Some people may undergo only chemotherapy, but this type of treatment is often used alongside other treatments, especially surgery. Some people will have surgery first followed by other treatments, such as radiation. This is called adjuvant therapy. Others may have chemotherapy first to shrink the cancer, called neoadjuvant therapy, and then surgery. In some cases, doctors prefer to give chemotherapy before surgery. The hope is that the treatment will shrink the tumor, and then the surgery will not need to be as invasive. If your type of breast cancer is sensitive to hormones, a doctor may start you onhormone therapy. Estrogen and progesterone, two female hormones, can stimulate the growth of breast cancer tumors. Hormone therapy works by blocking your body’s production of these hormones or by blocking the hormone receptors on the cancer cells. This action can help slow and possibly stop the growth of your cancer. Learn more about treatment options for breast cancer."
